Weighted Average Ticket Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Miami,17.7,19.1,24.5,24.5,24.5,25.1,$25.33 ,$28.42 ,$28.42 ,$29.65 ,$32.56 ,$35.33 ,$42.16 ,$42.16 ,$43.59 ,$45.10 ,$56.34 ,$45.83 ,$46.46 ,$48.51 ,$51.96 ,59.35,$66.11 ,66.11,66.74,70.54,70.32,71.14,71.14,65.16,$65.16,$98.25,79.96296296,86.36,84.51
Minnesota,12.9,12.9,15.5,17.2,19.8,19.8,$25.00 ,$25.00 ,$29.88 ,$29.79 ,$33.94 ,$36.95 ,$33.05 ,$35.74 ,$44.62 ,$48.28 ,$52.65 ,$56.37 ,$59.00 ,$61.63 ,$67.94 ,71.32,$70.91 ,73.23,73.20,75.69,75.69,75.69,78.69,88.53,$84.59,$91.67,91.65441176,99.72,103.98
New England,15.6,20.5,20.5,22.6,28.2,27.9,$29.67 ,$26.74 ,$28.48 ,$34.34 ,$34.22 ,$34.21 ,$39.45 ,$39.45 ,$39.45 ,$47.77 ,$47.77 ,$76.19 ,$75.33 ,$75.33 ,$90.89 ,$90.89 ,$90.89 ,117.84,117.84,117.84,117.84,117.84,117.84,122.00,$122.00,$130.73,127.04,127.04,127.04
New Orleans,15.3,15.3,15.3,18.2,20.3,22.9,$23.67 ,$24.07 ,$27.07 ,$26.71 ,$32.17 ,$34.84 ,$34.82 ,$34.47 ,$41.96 ,$45.56 ,$49.88 ,$46.32 ,$43.87 ,$42.36 ,$51.31 ,54.86,$54.86 ,62.22,62.23,74.99,74.99,74.99,74.99,84.87,$84.87,$91.25,81.87102634,90.14,97.72
NY Giants,13.5,13.5,17.2,17.2,22,21.8,$24.50 ,$28.74 ,$28.74 ,$35.59 ,$35.59 ,$35.59 ,$40.91 ,$40.91 ,$45.90 ,$45.90 ,$55.93 ,$56.47 ,$61.67 ,$66.67 ,$71.59 ,76.59,$81.29 ,88.06,88.64,111.69,111.69,111.69,111.69,111.69,$123.40,$123.40,115.31,115.31,115.31
NY Jets,14.2,16.1,18.9,18.9,21.3,21.1,$22.50 ,$25.00 ,$25.00 ,$25.00 ,$25.00 ,$25.33 ,$30.50 ,$35.92 ,$41.50 ,$51.48 ,$57.16 ,$57.20 ,$62.20 ,$66.39 ,$71.32 ,74.96,$80.70 ,86.99,86.98,114.64,$120.85 ,117.94,110.28,105.66,$105.66,$110.54,82.02090592,94.16,94.16
Oakland Raiders,,,,,,,,,,,$51.41 ,$51.41 ,$52.84 ,$52.84 ,$51.68 ,$51.74 ,$51.74 ,$58.89 ,$58.89 ,$58.89 ,$58.89 ,62.23,$62.23 ,62.23,62.23,62.23,62.23,62.23,64.8,64.80,$64.80,$71.03,81.75,81.75,87.78
Philadelphia,15.1,16.3,18.1,21.9,26,27,$30.00 ,$35.00 ,$35.00 ,$40.00 ,$40.00 ,$42.83 ,$42.83 ,$37.59 ,$37.59 ,$43.89 ,$46.19 ,$46.19 ,$64.00 ,$61.91 ,$66.09 ,69,$69.00 ,69,69.00,69,69,69,93.01,98.69,$98.69,$98.69,103.6176471,105.69,119.59
Phoenix/Arizona,,,,35.1,33.6,26.7,$30.00 ,$27.69 ,$27.69 ,$27.69 ,$31.97 ,$35.49 ,$39.65 ,$39.65 ,$40.10 ,$39.65 ,$37.60 ,$33.68 ,$35.99 ,$39.72 ,$44.98 ,51.32,$56.71 ,65.08,67.09,67.69,67.78,68,79.56,82.15,$82.15,$87.86,84.7931,83.54,84.83
Pittsburg,14.1,15.9,16,18.7,18.7,18.7,$29.25 ,$25.84 ,$25.84 ,$30.71 ,$30.71 ,$35.76 ,$35.76 ,$35.76 ,$40.76 ,$40.76 ,$62.03 ,$49.83 ,$54.55 ,$54.55 ,$59.19 ,59.19,$65.94 ,67.47,69.07,74.32,74.32,74.32,81.13,83.97,$83.97,$93.56,100.6737247,104.6,104.6
San Diego,17.9,19.7,19.7,22.5,22.5,22.5,$19.67 ,$29.07 ,$29.07 ,$34.27 ,$37.96 ,$38.96 ,$53.87 ,$53.87 ,$53.87 ,$58.55 ,$58.55 ,$46.82 ,$46.82 ,$46.82 ,$54.82 ,62.82,$73.64 ,81.39,81.39,81.39,80.3,80.3,84.55,84.55,$84.55,$84.55,200.2946,199.1,
San Francisco,19,19,19,23.1,23.5,28.5,$35.00 ,$35.75 ,$35.75 ,$39.75 ,$39.75 ,$45.00 ,$45.00 ,$50.00 ,$50.00 ,$50.00 ,$50.00 ,$58.00 ,$58.00 ,$64.00 ,$64.00 ,63.7,$62.37 ,70.55,70.54,76.39,83.54,83.54,83.54,117.00,$117.00,$117.00,116.98,116.98,116.98
Seattle,15.3,15.3,16.2,20.6,24.7,24.7,$27.00 ,$26.59 ,$26.59 ,$28.00 ,$28.00 ,$34.14 ,$32.65 ,$33.95 ,$35.68 ,$44.21 ,$44.97 ,$43.28 ,$43.06 ,$42.80 ,$44.78 ,50.46,$54.74 ,61.25,61.23,63.8,66.6,67.26,71.21,80.77,$84.60,$88.20,96.36,96.36,111.79
St. Louis Cardinals/Rams,14.7,16.7,18.2,,,,,,,,$33.61 ,$33.57 ,$33.98 ,$33.98 ,$33.99 ,$42.84 ,$49.59 ,$52.37 ,$54.92 ,$57.86 ,$60.92 ,63.71,$68.28 ,68.28,70.22,65.8,70.12,68.89,74.49,73.86,$72.71,,,,
Tampa Bay,13.5,13.5,13.5,16.2,19.6,19.6,$20.75 ,$24.03 ,$24.06 ,$29.57 ,$29.73 ,$33.06 ,$35.46 ,$64.58 ,$64.65 ,$67.49 ,$70.61 ,$44.41 ,$49.78 ,$59.38 ,$63.59 ,67.97,$72.44 ,90.13,74.25,72.1,71.47,69.72,63.59,63.59,$63.59,$74.11,81.17366412,85.07,82.59
Tennessee,,,,,,,,,,,,,$40.75 ,$45.11 ,$55.63 ,$59.33 ,$60.94 ,$40.66 ,$43.35 ,$45.77 ,$47.82 ,47.82,$54.32 ,58.55,60.94,62.95,63.55,64.61,65.28,67.15,$67.15,$67.15,78.17,78.17,86.33
Washington,14.7,14.7,19.2,19.2,24.2,24.2,$32.50 ,$35.70 ,$35.70 ,$35.70 ,$35.70 ,$35.69 ,$52.92 ,$62.07 ,$62.07 ,$81.89 ,$81.89 ,$68.06 ,$68.06 ,$68.12 ,$67.53 ,79.13,$79.13 ,79.13,79.13,79.13,79.13,79.13,94.8,102.00,$102.00,$119.52,117.13,117.13,103.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
